Timestamp,Plant_Type,Pot_Size,Soil_Moisture,Temperature,Humidity,Light_Level,Water_Needed
2023-01-01 00:12:43.855271,Tropical,Small,59.54,25.88,65.09,6951.21,0
2023-01-01 00:28:55.427852,Herb,Medium,46.18,16.48,57.87,7675.03,1
2023-01-01 00:46:03.637147,Herb,Small,69.03,19.19,57.55,12625.83,0
2023-01-01 00:59:33.956777,Flowering,Large,38.84,19.56,64.61,6687.73,1
2023-01-01 01:18:36.932623,Succulent,Medium,19.57,20.35,48.31,14751.09,0
2023-01-01 01:29:06.952093,Flowering,Small,68.74,22.0,62.39,9413.05,0
2023-01-01 01:44:43.682553,Herb,Small,65.47,25.06,57.57,16880.74,0
2023-01-01 01:57:34.328457,Herb,Large,59.81,17.56,50.44,10497.41,0
2023-01-01 02:08:35.059193,Tropical,Medium,88.78,24.44,73.59,8150.64,0
2023-01-01 02:27:05.704198,Succulent,Small,22.53,26.1,42.41,10782.86,1
2023-01-01 02:37:40.696264,Flowering,Large,52.47,20.09,57.72,7158.13,0
2023-01-01 02:48:42.712924,Fern,Large,55.88,18.94,64.53,2326.74,0
2023-01-01 03:05:25.777919,Herb,Large,64.41,22.81,52.96,7087.61,0
2023-01-01 03:24:50.523034,Tropical,Small,70.12,25.24,60.93,5638.38,0
2023-01-01 03:44:37.021026,Flowering,Medium,66.61,22.85,63.27,7039.32,0
2023-01-01 03:56:48.504822,Herb,Medium,61.72,22.28,54.37,10354.6,0
2023-01-01 04:08:58.130242,Tropical,Large,57.75,25.59,62.28,3598.43,0
2023-01-01 04:24:20.409249,Tropical,Small,45.83,25.6,59.53,5317.26,1
2023-01-01 04:40:42.565964,Tropical,Large,82.0,26.32,75.46,2193.42,0
2023-01-01 04:51:30.540579,Flowering,Large,79.64,20.99,61.64,6173.46,0
2023-01-01 05:10:44.042199,Flowering,Large,86.78,23.61,62.78,5987.3,0
2023-01-01 05:25:34.855466,Fern,Small,85.87,17.02,65.68,2125.14,0
2023-01-01 05:35:54.291350,Tropical,Medium,50.45,25.95,61.55,4974.21,0
2023-01-01 05:50:33.177763,Herb,Large,75.7,17.13,56.25,14540.43,0
2023-01-01 06:08:09.229753,Flowering,Medium,77.15,21.99,66.5,8216.7,0
2023-01-01 06:21:43.288079,Succulent,Small,39.75,25.31,50.06,17040.46,0
2023-01-01 06:36:40.498045,Succulent,Medium,48.56,20.23,37.65,21151.14,0
2023-01-01 06:48:37.196484,Herb,Small,44.43,21.77,47.8,9924.61,1
2023-01-01 07:01:41.849921,Fern,Large,86.89,22.43,70.23,2909.68,0
2023-01-01 07:17:35.720403,Tropical,Small,63.46,22.04,57.1,8317.0,0
2023-01-01 07:35:48.831155,Fern,Large,81.3,17.61,70.54,2895.79,0
2023-01-01 07:54:13.284072,Tropical,Medium,84.04,27.17,62.49,4248.5,0
2023-01-01 08:05:49.637919,Succulent,Small,39.8,22.23,39.35,5339.9,0
2023-01-01 08:17:51.859602,Fern,Medium,48.95,21.11,61.4,10.0,1
2023-01-01 08:32:07.715617,Herb,Medium,34.9,16.38,55.45,8545.53,1
2023-01-01 08:46:06.297774,Tropical,Medium,88.43,26.83,71.02,6640.97,0
2023-01-01 08:57:18.189210,Herb,Small,40.59,21.26,57.65,10167.92,1
2023-01-01 09:07:29.669716,Succulent,Large,45.63,27.3,42.27,12979.28,0
2023-01-01 09:24:04.878178,Herb,Small,35.58,21.4,53.48,9339.48,1
2023-01-01 09:41:47.683245,Tropical,Large,67.27,24.82,65.68,5721.96,0
2023-01-01 09:58:23.729580,Herb,Medium,78.25,21.35,46.23,11150.46,0
2023-01-01 10:10:32.299263,Fern,Small,76.11,19.64,69.46,2912.77,0
2023-01-01 10:25:04.534011,Herb,Medium,45.62,18.43,54.52,2526.07,1
2023-01-01 10:42:53.431366,Flowering,Medium,47.59,23.7,66.47,5244.05,1
2023-01-01 11:00:19.791212,Succulent,Medium,15.82,19.28,36.46,11433.33,1
2023-01-01 11:13:52.510737,Tropical,Medium,89.14,23.2,61.62,3738.28,0
2023-01-01 11:33:23.092973,Fern,Small,82.59,18.6,66.62,1126.93,0
2023-01-01 11:52:26.687915,Succulent,Large,11.74,24.78,40.83,16275.76,1
2023-01-01 12:04:16.470774,Tropical,Large,78.57,25.11,59.06,2065.65,0
2023-01-01 12:17:17.304363,Herb,Large,58.03,14.49,66.94,14523.13,0
2023-01-01 12:33:36.342215,Tropical,Large,68.76,26.96,66.55,3992.28,0
2023-01-01 12:43:55.453439,Tropical,Medium,68.1,25.37,69.45,4441.37,0
2023-01-01 13:02:40.142738,Tropical,Medium,85.19,26.5,66.7,4480.98,0
2023-01-01 13:18:52.785437,Fern,Large,85.88,16.62,69.59,2819.41,0
2023-01-01 13:29:41.494155,Tropical,Large,39.75,29.69,67.2,4626.68,1
2023-01-01 13:49:25.414860,Fern,Medium,72.33,18.5,69.48,3447.46,0
2023-01-01 14:07:08.259813,Fern,Small,73.96,17.26,68.56,1303.09,0
2023-01-01 14:23:22.132760,Succulent,Large,31.08,27.06,45.04,9590.44,0
2023-01-01 14:37:22.382580,Succulent,Large,13.74,26.06,37.54,10759.62,1
2023-01-01 14:55:10.496600,Flowering,Medium,80.58,23.56,57.27,6576.58,0
2023-01-01 15:05:34.505052,Tropical,Small,73.88,24.18,59.91,1644.38,0
2023-01-01 15:16:07.806911,Flowering,Medium,44.93,26.39,58.62,11028.27,1
2023-01-01 15:33:56.477087,Fern,Small,82.44,19.43,72.3,1708.21,0
2023-01-01 15:51:33.615765,Fern,Large,62.41,20.27,68.72,2492.89,0
2023-01-01 16:09:46.840089,Succulent,Small,64.99,21.63,39.62,14721.21,0
2023-01-01 16:29:03.935878,Herb,Small,79.1,22.5,51.86,10246.72,0
2023-01-01 16:40:35.185586,Flowering,Large,55.02,21.81,53.63,7195.34,0
2023-01-01 16:54:32.522716,Flowering,Small,55.15,22.66,56.17,5722.55,1
2023-01-01 17:05:50.143364,Tropical,Small,43.3,23.3,66.08,5193.69,1
2023-01-01 17:21:12.585727,Flowering,Small,83.77,23.12,63.58,8016.69,0
2023-01-01 17:31:43.559442,Tropical,Small,77.26,21.93,73.09,2728.81,0
2023-01-01 17:50:31.599225,Flowering,Large,85.25,24.06,53.98,4517.98,0
2023-01-01 18:03:59.898502,Succulent,Small,60.69,24.27,44.55,5731.43,0
2023-01-01 18:21:24.426544,Tropical,Small,90.21,20.13,72.48,3908.08,0
2023-01-01 18:34:54.436757,Tropical,Large,68.67,25.82,73.96,10281.58,0
2023-01-01 18:47:40.412787,Fern,Small,76.57,19.07,69.34,643.42,0
2023-01-01 18:57:45.435265,Tropical,Large,89.16,22.32,62.44,4541.48,0
2023-01-01 19:15:40.445706,Tropical,Medium,39.5,24.14,70.24,8044.92,1
2023-01-01 19:35:23.459650,Herb,Medium,42.98,23.87,55.03,11778.47,1
2023-01-01 19:48:44.325094,Flowering,Large,39.83,22.23,56.23,8491.49,1
2023-01-01 20:04:14.930845,Flowering,Small,34.37,25.63,52.2,9499.5,1
